username,role,courses,email,firstname,lastname
petrov@study.utmn.ru,instructor,introduction-to-programming;data-structures;algorithms-and-complexity;computer-networks;databases-systems;operating-systems,petrov@study.utmn.ru,Пётр,Петров
sokolova@study.utmn.ru,instructor,introduction-to-programming;data-structures,sokolova@study.utmn.ru,София,Соколова
stud0000123456@study.utmn.ru,student,introduction-to-programming;computer-networks,stud0000123456@study.utmn.ru,Иван,Иванов
stud0000234578@study.utmn.ru,student,data-structures;algorithms-and-complexity;databases-systems,stud0000234578@study.utmn.ru,Фёдор,Фёдоров
stud0000345672@study.utmn.ru,student,algorithms-and-complexity,stud0000345672@study.utmn.ru,Алексей,Алексеев
stud0000456784@study.utmn.ru,student,introduction-to-programming;data-structures;computer-networks;databases-systems;operating-systems,stud0000456784@study.utmn.ru,Дмитрий,Дмитриев
stud0000567896@study.utmn.ru,student,databases-systems;operating-systems,stud0000567896@study.utmn.ru,Сергей,Сидоров
stud0000678908@study.utmn.ru,student,introduction-to-programming;algorithms-and-complexity;computer-networks,stud0000678908@study.utmn.ru,Николай,Николаев
stud0000789010@study.utmn.ru,student,data-structures,stud0000789010@study.utmn.ru,Владислав,Волков
stud0000890122@study.utmn.ru,student,computer-networks;databases-systems,stud0000890122@study.utmn.ru,Михаил,Михайлов
stud0000901234@study.utmn.ru,student,introduction-to-programming;data-structures;algorithms-and-complexity,stud0000901234@study.utmn.ru,Андрей,Андреев
stud0001012345@study.utmn.ru,student,operating-systems,stud0001012345@study.utmn.ru,Борис,Борисов
stud0001122334@study.utmn.ru,student,data-structures;databases-systems,stud0001122334@study.utmn.ru,Олег,Морозов
stud0001233445@study.utmn.ru,student,introduction-to-programming,stud0001233445@study.utmn.ru,Максим,Петров
stud0001344556@study.utmn.ru,student,data-structures;algorithms-and-complexity;computer-networks;databases-systems;operating-systems,stud0001344556@study.utmn.ru,Кирилл,Pavlov
stud0001455667@study.utmn.ru,student,algorithms-and-complexity;computer-networks,stud0001455667@study.utmn.ru,Павел,Яшин
stud0001566778@study.utmn.ru,student,introduction-to-programming;operating-systems,stud0001566778@study.utmn.ru,Ярослав,Романов
stud0001677889@study.utmn.ru,student,databases-systems,stud0001677889@study.utmn.ru,Роман,Егоров
stud0001788990@study.utmn.ru,student,introduction-to-programming;data-structures;algorithms-and-complexity;computer-networks,stud0001788990@study.utmn.ru,Егор,Артемьев
stud0001899001@study.utmn.ru,student,computer-networks;operating-systems,stud0001899001@study.utmn.ru,Артем,Викторов
stud0001900112@study.utmn.ru,student,introduction-to-programming;algorithms-and-complexity;databases-systems,stud0001900112@study.utmn.ru,Виктор,Константинов
stud0002011223@study.utmn.ru,student,data-structures;operating-systems,stud0002011223@study.utmn.ru,Константин,Смирнов
